skils,counts,weights
spring,49.0,0.08687943262411348
sql,44.0,0.07801418439716312
html,40.0,0.07092198581560284
jsp,40.0,0.07092198581560284
hibernate,38.0,0.0673758865248227
javascript,35.0,0.06205673758865248
css,33.0,0.05851063829787234
rest,32.0,0.05673758865248227
oop,30.0,0.05319148936170213
j2ee,25.0,0.044326241134751775
jquery,25.0,0.044326241134751775
testing,18.0,0.031914893617021274
struts,16.0,0.028368794326241134
ajax,14.0,0.024822695035460994
angular,14.0,0.024822695035460994
servlets,13.0,0.02304964539007092
android,12.0,0.02127659574468085
xml,11.0,0.01950354609929078
json,10.0,0.01773049645390071
jsf,9.0,0.015957446808510637
maven,9.0,0.015957446808510637
tomcat,8.0,0.014184397163120567
soap,6.0,0.010638297872340425
aws,5.0,0.008865248226950355
swing,4.0,0.0070921985815602835
vaadin,4.0,0.0070921985815602835
beans,2.0,0.0035460992907801418
devops,2.0,0.0035460992907801418
eclipse,2.0,0.0035460992907801418
multithreading,2.0,0.0035460992907801418
netbeans,2.0,0.0035460992907801418
bitcoin,1.0,0.0017730496453900709
blockchain,1.0,0.0017730496453900709
dependency,1.0,0.0017730496453900709
grails,1.0,0.0017730496453900709
gwt,1.0,0.0017730496453900709
injection,1.0,0.0017730496453900709
jee,1.0,0.0017730496453900709
vert,1.0,0.0017730496453900709
vue,1.0,0.0017730496453900709
wicket,1.0,0.0017730496453900709
selenium,1.0,0.0017
